source_ip_reputation_score,request_rate,burstiness,path_depth,path_entropy,user_agent_risk_score,failed_login_count,unique_username_count,protocol,port,method,header_count,unusual_header_ratio,request_size,time_between_requests,number_of_touched_endpoints,decoy_asset_triggered,invalid_method_used,suspicious_path_keywords_count,label
0.051718604446562004,1.8919168228619068,0.02416541955685008,1,1.4678602554278974,0.02183065119316943,1,0,HTTPS,443,GET,8,0.004616843682429805,201,1.338925416287143,1,0,0,0,benign
0.0006764290912762761,0.160831168412837,0.0782286386680385,2,2.1975609837377945,0.07742814404036062,0,0,HTTP,80,POST,14,0.03507990382682259,1117,6.1115558216088575,4,0,0,0,benign
0.09719344827107068,0.28732720558600805,0.010693813338963637,2,1.4454523171250853,0.10042237065257933,1,1,HTTP,8080,GET,11,0.09837169615230644,577,1.1446326108420468,4,0,0,0,benign
0.3464715514878352,5.956628299926799,0.3649059276236323,1,4.169397493309395,0.6809029894479144,0,0,TELNET,3389,PUT,8,0.19452391841458322,254,0.07323570372928091,25,1,1,3,recon_scanner
0.4468623661304517,19.032282147707132,0.21321623434871967,2,3.5523176273406447,0.30463514988040524,0,1,TCP,443,GET,6,0.3006848168286921,334,0.3796136533297065,46,0,0,4,recon_scanner
0.1872766474211914,1.9953450198642078,0.11016438599481239,1,1.140813025881846,0.11273112491012591,1,0,HTTPS,443,POST,7,0.0934385641909028,220,5.354927563967584,3,0,0,0,benign
0.199987610773802,0.3729803101553426,0.14141523599440803,3,2.0598100175278753,0.0747912252549787,1,1,HTTPS,8080,POST,10,0.020952676401975123,1982,9.203515624596209,1,0,0,0,benign
0.18684647591811077,1.0572327490204059,0.12574189140914052,1,1.4253813571628655,0.09508809961271027,1,1,HTTP,8080,POST,6,0.02045698897424796,1498,1.881681587074945,4,0,0,0,benign
0.40861814157568577,41.179637877349265,0.34065472116041673,5,3.7280968533886427,0.417785964161729,2,1,HTTP,27017,GET,7,0.1978276862681872,175,0.01823524149696994,37,0,1,4,recon_scanner
0.4172832277432851,34.68659539677804,0.4429363148978733,5,2.9803154214326883,0.3673336961110561,3,0,TCP,23,DELETE,6,0.29536215465705723,134,0.27909721790164976,29,0,0,4,recon_scanner
